FE,Function,Level,Person in charge,Sprint,Note,BR,JOB
"S-01 – Home / Landing Page (Guest, Buyer) – BP3 
Xong FE","Hiển thị danh sách listing nổi bật (ACTIVE) nổi bật xác định thế nào (view count để xuât hiện các xe nổi bật)
Xem danh sách xe (Điều hướng, Button, Link)
Đăng nhập / Đăng ký (Điều hướng, Button, Link)
Search

Hiển thị danh sách listing nổi bật (ACTIVE)

Điều hướng:
Xem danh sách xe
Đăng nhập / Đăng ký
Search nhanh (keyword → S-30)",simple,"BE: Quang
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"2️⃣ Data Scope – Tin đăng hiển thị (RẤT QUAN TRỌNG)
Business Rule (BP3 + AC):
Chỉ hiển thị tin có trạng thái:
APPROVED / ACTIVE
❌ KHÔNG hiển thị:
DRAFT
PENDING_APPROVAL
REJECTED
HELD
SOLD
👉 FE không tự lọc bằng logic nghiệp vụ,
FE nhận đúng danh sách từ backend.
3️⃣ Nội dung hiển thị (FE View)
Mỗi item (card xe) hiển thị:
Ảnh đại diện
Tên xe / tiêu đề
Giá
Tình trạng xe
Thành phố / khu vực
Badge (nếu có kiểm định)
❌ Không hiển thị:
Thông tin Seller riêng tư
Trạng thái nội bộ (Pending, Held…)
4️⃣ CTA & Interaction Rules
4.1 Click vào tin
Điều hướng → S-32 – Listing Detail (Public)
4.2 CTA theo trạng thái user
Guest
CTA chính: “Xem chi tiết”
CTA bị khóa:
Đặt mua
Wishlist
Nếu click CTA bị khóa:
Redirect → S-02 – Login
Buyer (đã đăng nhập)
CTA chính: “Xem chi tiết”
Không phân biệt Buyer/Seller tại S-01
5️⃣ Validation & State (FE)
v_ing – validating
Khi load trang lần đầu
Khi refresh danh sách
FE xử lý:
Show skeleton / loading
Disable interaction trong lúc load
v_ed – validated
Khi data load xong
Render danh sách tin
6️⃣ Empty & Error State
Empty State
Khi không có tin phù hợp
Hiển thị:
“Hiện chưa có xe nào được đăng bán.”
Error State
Khi load data thất bại
Hiển thị:
“Không thể tải danh sách xe. Vui lòng thử lại.”
7️⃣ Permission Rules (FE)
Guest và Buyer:
Xem cùng 1 dữ liệu
❌ Không phân quyền khác nhau ở S-01
❌ Không hiển thị thông tin cá nhân
8️⃣ Những thứ CỐ TÌNH KHÔNG có ở S-01
❌ Filter nâng cao (đưa sang S-30)
❌ Search nâng cao
❌ Sort phức tạp
❌ Pagination logic phức tạp (FE chỉ consume API)
👉 S-01 giữ đơn giản – entry đúng nghĩa",
"S-02 – Login Screen – Global (Xong)
Xong FE, Xong BE","Nhập email / password
Validate credential
Login user
Redirect theo role (Seller / Buyer / Inspector / Admin)
Hiển thị lỗi đăng nhập",simple,"BE: Quang
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,https://phanthanhdat2505.atlassian.net/jira/software/projects/SCRUM/list?jql=project%20%3D%20SCRUM%20ORDER%20BY%20created%20DESC&selectedIssue=SCRUM-37,
"S-03 – Register Screen – Global (xong)

Xong FE, Xong BE","Nhập thông tin đăng ký
Validate dữ liệu
Tạo tài khoản
Gửi thông báo đăng ký thành công
Redirect login
Verify account",simple,"BE: Quang
FE: Huy",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"1️⃣ Input Business Rules
1.1 Email (email)
Field: email
Required: ✅
Rules (FE):
Không được để trống
Phải đúng format email
Có @
Có domain hợp lệ
❌ FE không kiểm tra trùng email
Việc này do backend xử lý
1.2 Password
Field: password
Required: ✅
Rules (FE – register là nơi validate chính):
Tối thiểu 8 ký tự
Phải chứa ít nhất 1 chữ cái
Phải chứa ít nhất 1 số
Phải chứa ít nhất 1 ký tự đặc biệt
(vd: ! @ # $ % ^ & *)
👉 Đây là rule hợp lý cho register, không dùng lại cho login.
1.3 Confirm Password
Field: confirmPassword
Required: ✅
Rules (FE):
Không được để trống
Phải trùng với password
1.4 Full Name
Field: fullName
Required: ✅
Rules (FE):
Không được để trống
Tối thiểu 2 ký tự
❌ Không chứa số
Cho phép khoảng trắng
1.5 Phone Number
Field: phone
Required: ✅
Rules (FE):
Chỉ chứa số
Độ dài hợp lý (9–11 số)
❌ Không validate nhà mạng (để backend)
2️⃣ Validation Flow (FE State)
v_ing – validating
Xảy ra khi:
User bấm Register
FE bắt đầu kiểm tra toàn bộ input
FE xử lý:
Validate từng field
Hiển thị lỗi tại field sai
Disable Register button khi đang xử lý
v_ed – validated
Xảy ra khi:
Toàn bộ input pass FE validation
FE gửi request lên backend
3️⃣ Status of Object (User – sau khi register)
Dựa trên tài liệu hệ thống:
User.status sau khi tạo:
Mặc định: INACTIVE hoặc UNVERIFIED
❌ Không phải ACTIVE ngay
👉 FE không set status, chỉ nhận response.
4️⃣ Register Result (FE-centric)
✅ SUCCESS
Điều kiện:
Backend tạo user thành công
FE xử lý:
Hiển thị message:
“Đăng ký thành công. Vui lòng đăng nhập.”
Redirect về S-02 – Login
❌ Không auto login
❌ FAIL – Validation (Backend)
Trường hợp:
Email đã tồn tại
Data không hợp lệ (backend reject)
FE xử lý:
Hiển thị message từ backend (mapping thân thiện)
Không clear form
❌ FAIL – System Error
Trường hợp:
Lỗi server
Network error
FE xử lý:
Hiển thị message chung:
“Hệ thống đang gặp sự cố, vui lòng thử lại sau.”
5️⃣ Security & Constraint (FE)
❌ FE không hash password
❌ FE không lưu password
❌ Không log password
✔️ Clear password field khi submit fail",
S-04 – User Profile – Supporting,"Xem thông tin cá nhân
Cập nhật profile (name, phone, address, avatar)
Đổi mật khẩu",medium,"BE: Đạt
FE: Huy",Sprint 3,,"2️⃣ Input Business Rules (FE)
2.1 Email (email)
Editable: ❌
Rule:
Chỉ hiển thị
Không cho sửa
Không validate
👉 Email là định danh, chỉ đổi qua flow khác (không nằm trong S-04)
2.2 Full Name
Editable: ✅
Required: ✅
Rules (FE):
Không được để trống
Tối thiểu 2 ký tự
❌ Không chứa số
Cho phép khoảng trắng
2.3 Phone Number
Editable: ✅
Required: ✅
Rules (FE):
Chỉ chứa số
Độ dài 9–11 số
❌ Không validate nhà mạng
2.4 Avatar
Editable: ✅
Rules (FE):
Định dạng ảnh (jpg, jpeg, png)
Dung lượng ≤ 5MB
Preview trước khi lưu
3️⃣ Seller Capability (phản ánh – không xử lý)
3.1 Hiển thị trạng thái bán
Trong S-04 chỉ HIỂN THỊ:
Trạng thái bán:
⭕ Chưa bật bán
✅ Đã bật bán
FE behavior:
Nếu chưa bật:
Hiển thị text: “Bạn chưa đăng bán sản phẩm nào”
CTA: “Đăng bán xe” → điều hướng sang BP1
Nếu đã bật:
Hiển thị shortcut sang Seller Dashboard
❌ FE không:
Set role
Verify điều kiện bán
Quyết định user có được bán hay không
4️⃣ Validation Flow (FE State)
v_ing – validating
Khi user bấm Save Profile
Khi user click CTA liên quan đến bán (chỉ navigate)
v_ed – validated
Khi backend trả response
5️⃣ Status of Object (User)
Dựa trên tài liệu:
User.status (backend quản lý):
ACTIVE
INACTIVE
BLOCKED
UNVERIFIED
FE rule:
Nếu BLOCKED / INACTIVE:
Cho xem profile
❌ Disable update
Hiển thị banner trạng thái
6️⃣ Những thứ CỐ TÌNH KHÔNG có trong S-04
❌ Đổi password
❌ Đổi email
❌ Đổi role
❌ Nhập thông tin bán (xe, giao dịch)",
S-05 – Notification Center – Supporting (BP1–BP7),"Xem danh sách notification
Đánh dấu đã đọc
Điều hướng tới screen liên quan (listing / transaction / dispute) complex",medium,"BE: Đạt
FE: Huy",Sprint 3,,"3️⃣ Notification Object (FE view model)
FE chỉ cần quan tâm các field hiển thị:
id
title
message
type (INFO / ACTION / ALERT)
relatedBP (BP1–BP7)
relatedObjectId
isRead
createdAt
❌ FE không:
Generate notification
Quyết định nội dung nghiệp vụ
4️⃣ UI Business Rules (FE)
4.1 Danh sách thông báo
Hiển thị theo thứ tự mới → cũ
Có phân biệt:
Chưa đọc
Đã đọc
4.2 Read / Unread
Khi user click notification:
Đánh dấu read
Điều hướng sang screen liên quan (nếu có)
4.3 Điều hướng (Navigation Rule)
BP	Điều hướng tới
BP1	Listing Detail (Seller View)
BP2	Pending Listings / Dispute
BP4	Inspection Chat
BP5	Transaction Detail
BP6	Delivery Detail
BP7	Dispute Detail
👉 Điều hướng chỉ là shortcut, không xử lý logic.
5️⃣ Validation & State (FE)
v_ing – validating
Khi load notification list
Khi mark as read
v_ed – validated
Khi data load xong
Khi backend xác nhận đã đọc
6️⃣ Permission Rules (FE)
User chỉ thấy notification của chính mình
❌ Không thấy notification của user khác
❌ Không sửa nội dung notification
7️⃣ Error Handling (FE)
❌ Load fail
Hiển thị:
“Không thể tải thông báo. Vui lòng thử lại.”
❌ Empty state
Hiển thị:
“Bạn chưa có thông báo nào.”
8️⃣ Những thứ CỐ TÌNH KHÔNG làm
❌ Filter nâng cao
❌ Search notification
❌ Delete notification
❌ Push realtime (MVP)
👉 Chỉ cần pull khi mở screen / refresh.",
My Orders,"1️⃣ View My Orders (Core)

Function:
👉 Xem danh sách các đơn mua của tôi

Mô tả chức năng:

Hiển thị tất cả order mà user là buyer

Có thể phân theo trạng thái:

Pending Seller Confirm

Confirmed

Delivering

Completed

Cancelled / In Dispute
2️⃣ View Order Detail (Core – điều hướng)

Function:
👉 Xem chi tiết 1 đơn mua

Mô tả chức năng:

Mở sang Order Detail (Buyer View)

Dashboard KHÔNG xử lý nghiệp vụ, chỉ điều hướng

📌 Function này đã tồn tại trong BP5, dashboard chỉ là entry point

3️⃣ Track Order Status (Core – read-only)

Function:
👉 Theo dõi trạng thái hiện tại của đơn mua

Mô tả chức năng:

Xem trạng thái tổng quát:

Chờ seller

Đang giao

Hoàn tất

Không xác nhận

Không chỉnh sửa

4️⃣ Cancel Order (Conditional)

Function:
👉 Hủy đơn mua (nếu còn ở trạng thái cho phép)

Điều kiện:

Order ở trạng thái Pending Seller Confirm

Mô tả chức năng:

Gọi action hủy

Không xử lý logic (BE xử lý)

📌 Function này:

Thuộc BP5

Dashboard chỉ expose lại khi hợp lệ
5️⃣ Raise Dispute (Conditional)

Function:
👉 Tạo khiếu nại / tranh chấp

Điều kiện:

Order chưa Completed

Buyer là người liên quan

📌 Function này:

Thuộc BP7

Dashboard chỉ hiển thị entry
6️⃣ View Delivery Info (Read-only)

Function:
👉 Xem thông tin giao hàng

Bao gồm:

Trạng thái giao

Shipper / carrier

Thời gian dự kiến",MEDIUM,,Sprint 2,"✅ Nên gọi

“My Orders”

“Purchase Overview”

“Order Center”

📌 Và mô tả trong báo cáo:

Trang này tổng hợp các đơn mua của người dùng để tiện theo dõi,
không phải một business screen riêng biệt được định nghĩa trong hệ thống.
FE convenience",,
"S-10 – Seller Dashboard – BP1

Xong BE","Số tin ACTIVE / PENDING / REJECTED
Số giao dịch
Shortcut tạo listing
Điều hướng My Listings
Draft (optional)",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,"[SCRUM-38] Các câu hỏi FE hỏi BE để làm sprint 1 (bao gồm S-01,S-02,S-03,S-20,S-21,S-22,S-23,S-24) - Jira","BR-S10-F01 – Hiển thị số listing ACTIVE / PENDING / REJECTED
•        Hệ thống truy vấn tất cả listing thuộc Seller
•        Mỗi listing được đếm theo status hiện tại
•        Draft không được tính
•        Nếu Seller chưa có listing → hiển thị 0 cho tất cả trạng thái
BR-S10-F02 – Hiển thị số giao dịch
•	Chỉ đếm giao dịch có mapping với listing của Seller
•	Giao dịch bị huỷ → không được tính
•	Nếu không có giao dịch → hiển thị 0

BR-S10-F03 – Shortcut tạo listing
•	Seller click shortcut → không kiểm tra điều kiện gì thêm
•	Điều hướng trực tiếp sang Create Listing (S-12)
•	Không tự động tạo Draft

BR-S10-F04 – Điều hướng My Listings
•	Khi click → chuyển sang S-11
•	Không thay đổi trạng thái hoặc dữ liệu listing

",
"S-11 – My Listings – BP1
Xong BE","Xem danh sách listing của Seller
Hiển thị status (Draft / Pending / Active / Rejected)
Filter theo status
View detail (Điều hướng)
Edit (Điều hướng)
Xem lý do reject (Điều hướng)",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S11-F01 – Xem danh sách listing
•        Hệ thống load toàn bộ listing của Seller
•        Bao gồm: Draft / Pending / Active / Rejected
•        Không hiển thị listing đã bị xoá

BR-S11-F02 – Hiển thị status listing
•        Status hiển thị là status hiện tại trong DB
•        Không cho phép chỉnh sửa status tại màn này

BR-S11-F03 – Filter theo status
•        Khi chọn filter:
o        Hệ thống chỉ trả về listing có status tương ứng
•        Khi bỏ filter:
o        Hiển thị lại toàn bộ listing

BR-S11-F04 – View Detail
•        Seller click listing → điều hướng S-15
•        Nếu listing không thuộc Seller → không cho truy cập

BR-S11-F05 – Edit Listing
•        Nút Edit chỉ hiển thị nếu status cho phép
•        Nếu Seller truy cập URL Edit trực tiếp:
o        Hệ thống kiểm tra status
o        Status không hợp lệ → redirect về Detail

BR-S11-F06 – Xem lý do reject
•        Chỉ hiển thị khi status = REJECTED
•        Nếu không có reject reason → hiển thị message mặc định
",
"S-12 – Create Listing (Form) – BP1
Xong BE","Nhập thông tin xe
Validate dữ liệu
Lưu Draft
Submit tạo listing (PENDING_APPROVAL)",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S12-F01 – Nhập thông tin xe
•	Seller có thể nhập từng phần
•	Dữ liệu chưa được lưu cho đến khi:
o	Save Draft hoặc
o	Submit
________________________________________
BR-S12-F02 – Validate dữ liệu
•	Validate xảy ra khi:
o	Save Draft → validate cơ bản
o	Submit → validate đầy đủ
•	Field sai format → highlight lỗi cụ thể
________________________________________
BR-S12-F03 – Lưu Draft
•	Khi Save Draft:
o	Tạo listing với status = DRAFT
o	Lưu toàn bộ dữ liệu hiện tại
•	Draft có thể được cập nhật nhiều lần
________________________________________
BR-S12-F04 – Submit tạo listing
•	Trước khi submit:
o	Validate toàn bộ field bắt buộc
o	Kiểm tra rule ảnh (S-13)
•	Submit thành công → status = PENDING_APPROVAL",
"S-13 – Upload Images – BP1
Xong BE","Upload ảnh
Validate định dạng / kích thước
Retry ảnh lỗi
Xóa ảnh
Kiểm tra >= 3 ảnh",complex,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S13-F01 – Upload ảnh
•	Mỗi ảnh được gắn với 1 listing
•	Upload thành công → ảnh hiển thị ngay
________________________________________
BR-S13-F02 – Validate định dạng / kích thước
•	Ảnh sai định dạng:
o	Không lưu
o	Hiển thị lỗi cụ thể
•	Ảnh vượt kích thước:
o	Không upload
o	Yêu cầu chọn ảnh khác
________________________________________
BR-S13-F03 – Retry ảnh lỗi
•	Seller có thể upload lại ảnh lỗi
•	Ảnh mới thay thế ảnh lỗi
________________________________________
BR-S13-F04 – Xóa ảnh
•	Khi xóa:
o	Ảnh bị remove khỏi listing
o	Không hiển thị trong Preview
________________________________________
BR-S13-F05 – Kiểm tra tối thiểu 3 ảnh
•	Trước khi submit:
o	Hệ thống đếm số ảnh hợp lệ
•	< 3 ảnh:
o	Disable nút Submit
o	Hiển thị thông báo lỗi",
"S-14 – Listing Preview – BP1
Xong BE","Preview listing trước khi đăng
Quay lại chỉnh sửa
Xác nhận đăng tin",simple,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S14-F01 – Preview listing
•	Preview lấy dữ liệu từ bản lưu mới nhất
•	Không chỉnh sửa được dữ liệu tại màn này
________________________________________
BR-S14-F02 – Quay lại chỉnh sửa
•	Khi quay lại:
o	Giữ nguyên toàn bộ dữ liệu đã nhập
o	Không reset form
________________________________________
BR-S14-F03 – Xác nhận đăng
•	Khi xác nhận:
o	Thực hiện submit listing
•	Khi không xác nhận:
o	Không thay đổi trạng thái
",
"S-15 – Listing Detail (Seller View) – BP1
Xong BE","Xem chi tiết listing
Xem trạng thái duyệt
Xem inspection status
Xem transaction liên quan (nếu có)",medium,"BE: Đạt
FE: Quốc Anh",Sprint 1,https://phanthanhdat2505.atlassian.net/browse/SCRUM-38,"BR-S15-F01 – Xem chi tiết listing
•	Seller chỉ xem được listing của mình
•	Listing bị xoá → không cho truy cập
________________________________________
BR-S15-F02 – Xem trạng thái duyệt
•	Status hiển thị theo dữ liệu hệ thống
•	Không cho chỉnh sửa tại màn này
________________________________________
BR-S15-F03 – Xem inspection status
•	Nếu chưa inspection → ẩn thông tin
•	Nếu có → hiển thị trạng thái hiện tại
________________________________________
BR-S15-F04 – Xem transaction liên quan
•	Chỉ hiển thị transaction liên quan đến listing
•	Không có → không hiển thị block",
"S-16 – Edit Listing – BP1
Xong BE","Chỉnh sửa nội dung listing
Update ảnh
Submit lại duyệt
Validate rule chỉnh sửa theo status",complex,"BE: Đạt
FE: Quốc Anh",Sprint 2,,"BR-S16-F01 – Điều kiện chỉnh sửa
•	Chỉ cho phép Edit nếu status hợp lệ
•	Status không hợp lệ → không truy cập màn Edit
________________________________________
BR-S16-F02 – Chỉnh sửa nội dung
•	Seller có thể thay đổi field cho phép
•	Field bị khóa → không cho chỉnh sửa
________________________________________
BR-S16-F03 – Update ảnh
•	Áp dụng toàn bộ rule S-13
•	Xóa ảnh làm < 3 ảnh → không cho submit
________________________________________
BR-S16-F04 – Submit lại duyệt
•	Khi submit:
o	Validate lại toàn bộ dữ liệu
o	Status chuyển sang PENDING_APPROVAL",
"S-17 – Listing Status View – BP1
Xong BE","Xem lifecycle listing
Xem lịch sử duyệt
Xem ghi chú Inspector
CTA theo status (Resubmit / Edit)",simple,"BE: Đạt
FE: Quốc Anh",Sprint 2,,"BR-S17-F01 – Xem lifecycle
•	Hiển thị danh sách các trạng thái đã đi qua
•	Không cho chỉnh sửa dữ liệu
________________________________________
BR-S17-F02 – Xem lịch sử duyệt
•	Mỗi lần duyệt phải có:
o	Thời gian
o	Kết quả
________________________________________
BR-S17-F03 – Xem ghi chú Inspector
•	Có ghi chú → hiển thị
•	Không có → ẩn block
________________________________________
BR-S17-F04 – CTA theo status
•	CTA hiển thị dựa trên status hiện tại
•	Không hiển thị action không hợp lệ",
